species,decimalLongitude,decimalLatitude,year,country,gbifID,coordinateUncertaintyInMeters,basisOfRecord
Spodoptera frugiperda,44.99295,9.20614,2017,CD,329509408,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,43.36611,-0.89017,2012,CM,102314313,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,0.03381,7.80881,2016,ML,884374109,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-7.47382,-7.91984,2014,ET,162795957,100,HUMAN_OBSERVATION
Spodoptera frugiperda,32.86234,18,2018,ZM,670292350,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-14.13219,10.58795,2018,KE,299528037,100,HUMAN_OBSERVATION
Spodoptera frugiperda,22.46239,1.02087,2011,ZM,711684318,500,HUMAN_OBSERVATION
Spodoptera frugiperda,21.3665,-2.83534,2010,SN,188029013,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,26.70138,-4.59929,2014,ET,819112790,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-1.76936,0.82975,2016,ZA,821221887,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,13.09127,18,2010,CD,766964667,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-13.01827,-7.12769,2013,CI,384756779,500,HUMAN_OBSERVATION
Spodoptera frugiperda,45.46164,18,2015,GH,269379374,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,38.69466,-11.79376,2021,GH,756783995,100,HUMAN_OBSERVATION
Spodoptera frugiperda,27.4147,-21.18576,2011,ZM,244193987,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-10.15085,-4.3536,2011,ML,694019365,500,HUMAN_OBSERVATION
Spodoptera frugiperda,0.51968,-10.09118,2013,BF,781007818,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,16.36782,-6.6801,2014,ZM,154544899,100,HUMAN_OBSERVATION
Spodoptera frugiperda,25.13134,6.72306,2015,NE,240466536,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-7.01243,1.83512,2017,CI,857704655,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,20.14167,18,2021,ZM,260045822,100,HUMAN_OBSERVATION
Spodoptera frugiperda,38.75246,18,2019,CI,259014493,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-9.3337,-4.19691,2022,MW,142836793,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-3.7148,18,2013,BF,210373808,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,35.0479,14.14873,2019,ML,265950383,500,HUMAN_OBSERVATION
Spodoptera frugiperda,40.79319,-3.15451,2022,NE,290108532,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-16.31453,4.09078,2016,NE,819307302,500,HUMAN_OBSERVATION
Spodoptera frugiperda,0.14279,-5.74485,2022,ML,216066793,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,41.30734,10.36767,2023,ZM,594246837,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,2.75298,-1.60643,2022,MW,344378798,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-16.39082,8.7442,2023,KE,399708182,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,25.62076,15.02858,2016,BF,675757257,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,45.86813,18,2012,SN,385042337,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-10.62863,18,2016,TZ,882269302,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,11.67478,10.92017,2019,ET,373506211,100,HUMAN_OBSERVATION
Spodoptera frugiperda,30.1974,4.41169,2010,CI,678158427,500,HUMAN_OBSERVATION
Spodoptera frugiperda,6.76706,18,2015,SN,437064353,100,HUMAN_OBSERVATION
Spodoptera frugiperda,30.94329,12.5459,2014,CI,432091877,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,4.18044,0.03121,2013,CM,813962536,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,28.05762,-9.42634,2012,SN,711072118,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,9.61311,10.12865,2013,CM,722753913,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,13.6192,-3.83278,2017,BF,329460134,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,35.97401,18,2020,KE,404713332,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-11.64967,0.10973,2022,ET,822408848,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-2.72443,5.83853,2013,CD,756350429,100,HUMAN_OBSERVATION
Spodoptera frugiperda,12.9683,7.53352,2020,SN,308773243,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,15.61765,5.6625,2010,ZM,214447237,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-3.1188,18,2022,ML,656152900,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-14.58515,5.1174,2017,ZA,598906879,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,46.60269,18,2017,SN,872314530,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,38.4787,-19.44792,2021,MW,609677794,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-0.37497,-2.58375,2013,MW,784683755,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,34.07533,-11.69645,2014,CD,183197117,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-2.05444,2.75207,2015,TZ,679984033,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-8.59056,7.16912,2021,ET,168965204,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,9.71676,18,2018,CD,546434187,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-3.93526,-17.81932,2019,ML,120972273,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,14.43462,17.51824,2015,GH,518744974,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,18.599,2.92505,2013,CD,335602191,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,11.63685,-16.42482,2010,CM,460916347,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,31.24433,18,2019,CI,128955006,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,22.24871,-17.70023,2020,NG,190137896,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,-8.77243,1.25638,2016,TZ,327268503,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,4.22551,5.91873,2022,ZM,507083673,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,33.13667,9.50476,2011,CD,120812641,100,HUMAN_OBSERVATION
Spodoptera frugiperda,49.99373,-2.96449,2015,ET,798086909,100,HUMAN_OBSERVATION
Spodoptera frugiperda,35.12385,-6.63681,2013,ET,121882877,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-1.77894,-11.39377,2017,BF,222824732,500,HUMAN_OBSERVATION
Spodoptera frugiperda,13.62231,4.54844,2019,SN,871330207,100,HUMAN_OBSERVATION
Spodoptera frugiperda,34.88985,16.50468,2012,GH,216070149,100,HUMAN_OBSERVATION
Spodoptera frugiperda,45.16433,-18.2981,2016,CM,867741192,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-12.83224,-7.01826,2021,MW,773496394,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-11.07071,8.29242,2019,NE,229981882,100,HUMAN_OBSERVATION
Spodoptera frugiperda,5.60986,-18.15371,2016,BF,497897455,100,HUMAN_OBSERVATION
Spodoptera frugiperda,16.40533,-7.66757,2023,CD,213321496,5000,HUMAN_OBSERVATION
Spodoptera frugiperda,47.33355,18,2020,ZM,593641365,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-68.87077,1.04419,2014,EC,677858758,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-67.10757,-30,2023,BO,736164778,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-75.66173,5.9915,2014,HN,361846370,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-60.80902,25,2020,GT,461203124,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-65.34161,-2.87583,2015,AR,465436049,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-42.1808,20.45379,2021,AR,696776072,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-64.00236,9.03532,2016,HN,696115913,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-53.56344,15.39309,2020,BO,627015393,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-47.42403,13.8538,2021,VE,428786222,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-60.10666,10.86002,2017,US,670073085,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-69.46977,4.65669,2021,HN,390894296,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-79.91578,-8.43982,2011,BO,306785808,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-87.82672,-19.78022,2012,VE,332341238,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-65.94808,-0.68045,2021,EC,663324548,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-78.02008,12.95354,2013,PE,292673892,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-94.1511,10.81885,2018,CO,394539550,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-36.5423,-16.902,2012,PY,627076988,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-42.63682,-2.63104,2019,AR,604011128,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-68.57187,6.95269,2023,HN,222500131,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-70.95755,9.46336,2011,EC,775862179,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-91.78346,16.42076,2014,MX,366493008,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-61.51562,20.55381,2016,EC,740086326,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-81.45877,-11.25005,2017,AR,731924051,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-76.67719,2.67972,2019,BR,754586204,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-89.04599,6.68071,2014,PY,187174381,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-80.60809,-15.95631,2018,MX,268075622,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-70.48895,-1.28346,2010,VE,409350265,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-78.0369,-10.68882,2023,HN,176428684,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-80.99457,2.57528,2019,PY,312406764,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-88.11342,25,2013,PY,259976144,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-45.40213,13.14131,2014,EC,711181411,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-68.65079,8.91947,2017,BO,426515425,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-70.84949,2.39568,2017,MX,742136977,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-41.63463,23.51047,2021,PE,748232591,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-93.44811,7.96653,2023,EC,730418447,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-35.02565,25,2020,AR,718740490,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-49.21346,13.21921,2017,AR,294872482,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-68.8469,21.17901,2023,HN,197970787,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-74.12234,-6.16702,2023,CO,454123990,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-53.37958,24.34885,2014,PY,529982328,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-92.79817,14.73405,2011,GT,652543518,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-55.54038,11.01223,2018,HN,543721204,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-83.74505,-11.28611,2020,HN,155417727,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-78.97663,24.24435,2012,AR,570423569,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-65.91729,25,2022,VE,862123506,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-76.35499,8.81594,2010,US,538076670,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-81.51796,8.9993,2011,PY,265325235,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-39.04082,-1.18055,2014,US,857429971,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-70.07058,-11.85588,2017,US,255308128,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-83.56338,6.86095,2019,US,246574716,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-78.42516,8.86305,2022,US,386874458,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-78.02966,-10.04317,2014,EC,722687986,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-65.62158,16.09858,2015,PE,692616814,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-72.3674,19.99577,2015,VE,848933239,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-60.69214,7.67324,2010,PE,899621068,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-52.68633,25,2022,GT,514548900,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-47.45638,0.024,2010,CO,639331014,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-75.08032,-2.03484,2011,HN,207064620,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-40.3735,13.3307,2023,PY,265744099,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-66.83056,5.80584,2014,PE,769219685,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-71.151,16.71965,2020,US,508031980,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-57.39205,11.4732,2022,HN,680911523,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-57.95243,7.17662,2014,VE,197044071,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-36.29974,25,2022,PY,855797020,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-68.37929,-6.17727,2010,PE,160257560,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-73.4922,-25.4452,2016,CO,362204999,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-70.2769,1.07267,2012,MX,754436820,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-57.81738,-3.59711,2013,HN,726160204,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-81.06869,-5.77532,2020,BR,599561877,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-54.34335,-7.68142,2012,MX,574303740,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-35.7409,-6.66156,2021,AR,590523712,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-83.04698,25,2016,HN,214518079,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-72.11814,-2.94521,2021,AR,123557463,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-71.25166,14.73302,2010,EC,836371599,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-36.58383,25,2023,AR,347087743,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-46.88408,-8.20922,2013,PY,304152670,1000,HUMAN_OBSERVATION
Spodoptera frugiperda,-79.96239,5.89766,2020,CO,774576271,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-40.79578,-20.60521,2020,BR,431714152,500,HUMAN_OBSERVATION
Spodoptera frugiperda,-92.99813,-0.26038,2014,PE,546143048,100,HUMAN_OBSERVATION
Spodoptera frugiperda,-82.95231,10.97722,2022,US,492836532,1000,HUMAN_OBSERVATION
